"0","library(readr)"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [20,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [21,]"
"1"," "" åˆ¥å†è½‰å°ï¼äº†è§£é›»è¦–å¸‚å ´å•é¡Œå°±å¾ç¶“æ¿Ÿå­¸é–‹å§‹""                        "
"1"," "" by Amor""                   "
"1","
 [22,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [23,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [24,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [25,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [26,]"
"1"," "" åˆ¥å†è½‰å°ï¼äº†è§£é›»è¦–å¸‚å ´å•é¡Œå°±å¾ç¶“æ¿Ÿå­¸é–‹å§‹""                        "
"1"," "" by Amor""                   "
"1","
 [27,]"
"1"," "" by Amor""                                                         "
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº"""
"1","
 [28,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [29,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [30,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
 [31,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
 [32,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
 [33,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [34,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [35,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [36,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [37,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [38,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
 [39,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [40,]"
"1"," "" by Amor""                                                         "
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº"""
"1","
 [41,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [42,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [43,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [44,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [45,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [46,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [47,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [48,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [49,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [50,]"
"1"," "" Artificial intelligence - Medical field äººå·¥æ™ºæ…§èˆ‡é†«ç™‚ by æ™ºæ™ºéšŠ"""
"1"," """"                           "
"1","
 [51,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [52,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [53,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [54,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
 [55,]"
"1"," "" Blockchainå€å¡Šéˆ by å…¬é™¢ç ”è¨203""                                 "
"1"," """"                           "
"1","
 [56,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [57,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [58,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [59,]"
"1"," "" åˆ¥å†è½‰å°ï¼äº†è§£é›»è¦–å¸‚å ´å•é¡Œå°±å¾ç¶“æ¿Ÿå­¸é–‹å§‹""                        "
"1"," "" by Amor""                   "
"1","
 [60,]"
"1"," "" by Amor""                                                         "
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""      "
"1","
 [61,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [62,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [63,]"
"1"," "" by Amor""                                                         "
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""      "
"1","
 [64,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [65,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [66,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [67,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [68,]"
"1"," "" åˆ¥å†è½‰å°ï¼äº†è§£é›»è¦–å¸‚å ´å•é¡Œå°±å¾ç¶“æ¿Ÿå­¸é–‹å§‹""                        "
"1"," "" by Amor""                   "
"1","
 [69,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [70,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [71,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [72,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [73,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [74,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [75,]"
"1"," "" by Amor""                                                         "
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""      "
"1","
 [76,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [77,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [78,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [79,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [80,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [81,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [82,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [83,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [84,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [85,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [86,]"
"1"," "" Blockchainå€å¡Šéˆ by å…¬é™¢ç ”è¨203""                                 "
"1"," """"                           "
"1","
 [87,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [88,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [89,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [90,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [91,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
 [92,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [93,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
 [94,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [95,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
 [96,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [97,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [98,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
 [99,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[100,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[101,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
[102,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[103,]"
"1"," "" Artificial intelligence - Medical field äººå·¥æ™ºæ…§èˆ‡é†«ç™‚ by æ™ºæ™ºéšŠ"""
"1"," """"                           "
"1","
[104,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[105,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[106,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[107,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[108,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[109,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[110,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[111,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[112,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[113,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[114,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[115,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[116,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[117,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[118,]"
"1"," "" åˆ¥å†è½‰å°ï¼äº†è§£é›»è¦–å¸‚å ´å•é¡Œå°±å¾ç¶“æ¿Ÿå­¸é–‹å§‹""                        "
"1"," "" by Amor""                   "
"1","
[119,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[120,]"
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""                                            "
"1"," """"                           "
"1","
[121,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
[122,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[123,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[124,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[125,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[126,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[127,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[128,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[129,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[130,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[131,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[132,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[133,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[134,]"
"1"," "" by Amor""                                                         "
"1"," """"                           "
"1","
[135,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[136,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[137,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
[138,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[139,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[140,]"
"1"," "" Artificial intelligence - Medical field äººå·¥æ™ºæ…§èˆ‡é†«ç™‚ by æ™ºæ™ºéšŠ"""
"1"," """"                           "
"1","
[141,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[142,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[143,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[144,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[145,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[146,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[147,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[148,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
[149,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[150,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[151,]"
"1"," "" What we learn from claw machine by é†‰å¾Œçš„æœ€å¾Œcheers""             "
"1"," """"                           "
"1","
[152,]"
"1"," "" by Amor""                                                         "
"1"," "" ç¸®è¡¨ç¶“æ¿Ÿå­¸ by èœ»èœ“éšŠ""      "
"1","
[153,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[154,]"
"1"," "" ç¸®è¡¨666ï¼? by å±æ¡ƒæç¬‘è—äºº""                                      "
"1"," """"                           "
"1","
[155,]"
"1"," "" é›»å­æ”¯ä»˜ by å…¨çƒæš–æ¨º""                                            "
"1"," """"                           "
"1","
[156,]"
"1"," """"                                                                 "
"1"," """"                           "
"1","
"
